,crystal structure,supercell size,Defect,Charge state, PBE Relax Energy (eV),HSE Gamma Relax (eV),Total Force,Vasp HSE Frozen,Total Force,VASP HSE Relax ,diff,Total Force,Potential allignment correction,Scaled madelung correct
SnSe,pnma,72 atoms,Se_i,1,-301.43,,,,,,,,,
SnSe,pnma,72 atoms,Se_i,2,-305.27,,,,,,,,,
SnSe,pnma,72 atoms,Bi_Sn,0,-294.93,-350.37,0.09,-353.28,1.63,-353.67,0.39,0.4,0,0
SnSe,pnma,72 atoms,Bi_Sn,1,-299.31,-354.96,0.08,-358.04,1.64,-358.34,0.3,0.13,0,0.09
SnSe,pnma,72 atoms,Br_Se,0,-293.50,-348.72,0.09,-351.63,1.59,-351.85,0.22,0.46,0,0
SnSe,pnma,72 atoms,Br_Se,1,-297.92,-353.27,0.14,-356.32,1.56,-356.5,0.18,0.34,0,0.09
SnTe,rock salt,64 atoms,host,-,-241.94,,,,,-289.49,,0,,
SnTe,rock salt,64 atoms,VSn,0,-237.13,-265.1,0.09,-284.12,0.85,-284.19,0.07,0.09,0,0
SnTe,rock salt,64 atoms,VSn,-1,-232.13,-259.73,0.12,-279.45,0.95,-279.55,0.1,0.09,0.17,0.02
SnTe,rock salt,64 atoms,VSn,-2,-226.96,-254.44,0.1,-274.11,1.08,-274.23,0.13,0.31,0.31,0.08
SnTe,rock salt,64 atoms,VTe,0,-236.62,-264.23,0.02,-282.57,1.55,-282.93,0.36,0.45,0,0
SnTe,rock salt,64 atoms,VTe,1,-241.92,-269.51,0.03,-288.19,1.4,-288.41,0.23,0.37,-0.15,0.02
SnTe,rock salt,64 atoms,VTe,2,-247.04,-274.83,0.04,-293.48,1.52,-293.7,0.22,1.5,-0.3,0.08
SnTe,rock salt,64 atoms,Sn_Te,-2,-230.27,-257.37,0.09,-277.81,1.37,-278.01,0.2,0.11,0.12,0.08
SnTe,rock salt,64 atoms,Sn_Te,-1,-235.70,-262.83,0.1,-283.33,1.49,-283.53,0.2,0.12,0.08,0.02
SnTe,rock salt,64 atoms,Sn_Te,0,-241.00,-268.36,0.04,-288.15,1.53,-288.59,0.44,0.06,0,0
SnTe,rock salt,64 atoms,Sn_Te,1,-246.31,-273.83,0.15,-292.99,1.87,-293.74,0.76,0.31,-0.08,0.02
SnTe,rock salt,64 atoms,Sn_Te,2,-251.43,-279.36,0.06,-297.76,2.51,-298.72,0.96,0.41,-0.18,0.08
SnTe,rock salt,64 atoms,Te_Sn,-2,-227.94,-256.42,0.03,-275.41,3.09,-276.51,1.1,0.11,-0.08,0.08
